FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
120801;700;;;22,91
120801;800;;;397,599
120801;900;;;35,72
120801;1000;;;47,18
120801;1100;;;53,24
120801;1200;;;26,28
120801;1300;;;37,4
120801;1400;;;19,2
120801;1500;;;27,62
120801;1600;;;44,46
120801;1700;;;30,99
120801;1800;;;41,77
120801;1900;;;45,14
120801;2000;;;35,04
120801;2100;;;38,41
120801;2200;;;33,7
120801;2300;;;25,61
120802;0;;;19,21
120802;100;;;12,13
120802;200;;;12,13
120802;300;;;943,999
120802;400;;;6,74
120802;500;;;3,37
120802;600;;;6,74
120802;700;;;13,82
120802;800;;;25,27
120802;900;;;27,3
120802;1000;;;26,28
120802;1100;;;26,96
120802;1200;;;12,8
120802;1300;;;15,5
120802;1400;;;15,5
120802;1500;;;12,8
120802;1600;;;28,3
120802;1700;;;20,89
120802;1800;;;27,62
120802;1900;;;35,71
120802;2000;;;26,28
120802;2100;;;11,46
120802;2200;;;586,299
120802;2300;;;116,6
120803;0;;;111,2
120803;100;;;130,7
120803;200;;;87,6
120803;300;;;60,66
120803;400;;;33,7
120803;500;;;34,37
120803;600;;;22,24
120803;700;;;43,81
120803;800;;;39,09
120803;900;;;57,29
120803;1000;;;24,94
120803;1100;;;14,15
120803;1200;;;673,999
120803;1300;;;25,61
120803;1400;;;10,78
120803;1500;;;20,22
120803;1600;;;26,96
120803;1700;;;30,32
120803;1800;;;42,45
120803;1900;;;95,7
120803;2000;;;84,2
120803;2100;;;228,5
120803;2200;;;97,7
120803;2300;;;44,48
120804;0;;;104,5
120804;100;;;653,899
120804;200;;;50,56
120804;300;;;39,1
120804;400;;;640,498
120804;500;;;31,02
120804;600;;;35,74
120804;700;;;411,299
120804;800;;;45,85
120804;900;;;28,99
120804;1000;;;24,95
120804;1100;;;21,57
120804;1200;;;13,48
120804;1300;;;16,17
120804;1400;;;10,78
120804;1500;;;12,12
120804;1600;;;942,998
120804;1700;;;8,75
120804;1800;;;25,59
120804;1900;;;323,199
120804;2000;;;451,299
120804;2100;;;48,5
120804;2200;;;126,7
120804;2300;;;338,9
120805;0;;;310
120805;100;;;372,7
120805;200;;;308,1
120805;300;;;248,8
120805;400;;;728,198
120805;500;;;27,64
120805;600;;;26,3
120805;700;;;25,62
120805;800;;;20,23
120805;900;;;33,71
120805;1000;;;41,8
120805;1100;;;643,799
120805;1200;;;62,68
120805;1300;;;14,15
120805;1400;;;15,49
120805;1500;;;807,999
120805;1600;;;7,407
120805;1700;;;10,1
120805;1800;;;45,79
120805;1900;;;505,099
120805;2000;;;30,31
120805;2100;;;39,74
120805;2200;;;39,75
120805;2300;;;34,36
120806;0;;;27,63
120806;100;;;20,89
120806;200;;;18,87
120806;300;;;20,89
120806;400;;;17,52
120806;500;;;943,999
120806;600;;;11,46
120806;700;;;12,13
120806;800;;;12,81
120806;900;;;21,57
120806;1000;;;13,48
120806;1100;;;12,81
120806;1200;;;21,57
120806;1300;;;23,59
120806;1400;;;21,56
120806;1500;;;26,28
120806;1600;;;18,19
120806;1700;;;19,54
120806;1800;;;28,29
120806;1900;;;336,899
120806;2000;;;30,32
120806;2100;;;29,65
120806;2200;;;24,94
120806;2300;;;26,96
120807;0;;;28,31
120807;100;;;22,92
120807;200;;;17,53
120807;300;;;14,16
120807;400;;;18,2
120807;500;;;19,55
120807;600;;;19,55
120807;700;;;28,32
120807;800;;;22,25
120807;900;;;24,27
120807;1000;;;18,2
120807;1100;;;24,27
120807;1200;;;26,29
120807;1300;;;28,31
120807;1400;;;24,94
120807;1500;;;27,63
120807;1600;;;26,95
120807;1700;;;40,42
120807;1800;;;518,799
120807;1900;;;761,399
120807;2000;;;47,84
120807;2100;;;45,16
120807;2200;;;257,5
120807;2300;;;41,12
120808;0;;;411,299
120808;100;;;728,098
120808;200;;;50,56
120808;300;;;33,71
120808;400;;;377,599
120808;500;;;28,32
120808;600;;;26,3
120808;700;;;21,58
120808;800;;;27,64
120808;900;;;37,08
120808;1000;;;33,71
120808;1100;;;343,799
120808;1200;;;41,8
120808;1300;;;32,35
120808;1400;;;34,37
120808;1500;;;36,06
120808;1600;;;33,02
120808;1700;;;34,37
120808;1800;;;41,78
120808;1900;;;47,18
120808;2000;;;41,79
120808;2100;;;39,43
120808;2200;;;39,1
120808;2300;;;33,71
120809;0;;;343,799
120809;100;;;33,04
120809;200;;;26,29
120809;300;;;24,95
120809;400;;;20,9
120809;500;;;22,92
120809;600;;;15,51
120809;700;;;22,25
120809;800;;;19,55
120809;900;;;27,3
120809;1000;;;23,6
120809;1100;;;24,27
120809;1200;;;31,69
120809;1300;;;26,29
120809;1400;;;23,59
120809;1500;;;32,35
120809;1600;;;31
120809;1700;;;31
120809;1800;;;35,72
120809;1900;;;35,73
120809;2000;;;31,01
120809;2100;;;27,64
120809;2200;;;26,97
120809;2300;;;20,9
120810;0;;;1000
120810;100;;;61,35
120810;200;;;25,62
120810;300;;;16,18
120810;400;;;13,48
120810;500;;;12,14
120810;600;;;943,999
120810;700;;;18,2
120810;800;;;15,51
120810;900;;;26,97
120810;1000;;;31,69
120810;1100;;;28,99
120810;1200;;;26,97
120810;1300;;;18,2
120810;1400;;;24,27
120810;1500;;;22,91
120810;1600;;;28,98
120810;1700;;;28,31
120810;1800;;;26,29
120810;1900;;;343,799
120810;2000;;;411,299
120810;2100;;;640,498
120810;2200;;;161,8
120810;2300;;;157,1
120811;0;;;445,099
120811;100;;;41,81
120811;200;;;34,39
120811;300;;;24,95
120811;400;;;14,16
120811;500;;;18,21
120811;600;;;20,23
120811;700;;;21,58
120811;800;;;19,56
120811;900;;;22,93
120811;1000;;;23,94
120811;1100;;;24,95
120811;1200;;;21,58
120811;1300;;;24,27
120811;1400;;;25,62
120811;1500;;;26,29
120811;1600;;;27,64
120811;1700;;;33,04
120811;1800;;;707,898
120811;1900;;;89,7
120811;2000;;;359,4
120811;2100;;;348
120811;2200;;;226,6
120811;2300;;;189,5
120812;0;;;362,9
120812;100;;;339,3
120812;200;;;209,1
120812;300;;;349,4
120812;400;;;179,7
120812;500;;;126,1
120812;600;;;87,7
120812;700;;;93,7
120812;800;;;60,7
120812;900;;;55,97
120812;1000;;;45,17
120812;1100;;;33,02
120812;1200;;;23,59
120812;1300;;;5,39
120812;1400;;;6,064
120812;1500;;;14,83
120812;1600;;;25,61
120812;1700;;;17,53
120812;1800;;;39,78
120812;1900;;;411,299
120812;2000;;;822,998
120812;2100;;;539,399
120812;2200;;;882,998
120812;2300;;;25,62
120813;0;;;19,56
120813;100;;;11,47
120813;200;;;12,81
120813;300;;;19,56
120813;400;;;16,19
120813;500;;;14,84
120813;600;;;16,86
120813;700;;;19,56
120813;800;;;19,56
120813;900;;;31,02
120813;1000;;;29
120813;1100;;;34,4
120813;1200;;;43,83
120813;1300;;;0
120813;1400;;;41,8
120813;1500;;;47,53
120813;1600;;;438,199
120813;1700;;;59,33
120813;1800;;;660,698
120813;1900;;;728,198
120813;2000;;;282,5
120813;2100;;;144,3
120813;2200;;;200,9
120813;2300;;;113,3
120814;0;;;95,1
120814;100;;;89
120814;200;;;89,7
120814;300;;;69,46
120814;400;;;802,998
120814;500;;;72,84
120814;600;;;445,099
120814;700;;;66,09
120814;800;;;76,21
120814;900;;;62,72
120814;1000;;;640,598
120814;1100;;;59,33
120814;1200;;;71,47
120814;1300;;;105,9
120814;1400;;;44,5
120814;1500;;;16,18
120814;1600;;;19,55
120814;1700;;;640,498
120814;1800;;;165,9
120814;1900;;;163,8
120814;2000;;;120,7
120814;2100;;;102,5
120814;2200;;;259,6
120814;2300;;;145
120815;0;;;238,7
120815;100;;;178,7
120815;200;;;38,43
120815;300;;;37,08
120815;400;;;35,06
120815;500;;;20,9
120815;600;;;28,99
120815;700;;;33,04
120815;800;;;37,08
120815;900;;;33,71
120815;1000;;;411,299
120815;1100;;;66,75
120815;1200;;;70,12
120815;1300;;;37,08
120815;1400;;;59,33
120815;1500;;;36,41
120815;1600;;;27,64
120815;1700;;;539,399
120815;1800;;;39,78
120815;1900;;;28,32
120815;2000;;;24,95
120815;2100;;;22,25
120815;2200;;;22,25
120815;2300;;;19,55
120816;0;;;18,88
120816;100;;;25,62
120816;200;;;7,417
120816;300;;;8,09
120816;400;;;943,999
120816;500;;;8,09
120816;600;;;8,09
120816;700;;;14,83
120816;800;;;16,18
120816;900;;;876,999
120816;1000;;;606,799
120816;1100;;;3,708
120816;1200;;;471,899
120816;1300;;;5,393
120816;1400;;;6,741
120816;1500;;;8,09
120816;1600;;;5,394
120816;1700;;;14,83
120816;1800;;;22,92
120816;1900;;;31,69
120816;2000;;;31,01
120816;2100;;;46,52
120816;2200;;;60,68
120816;2300;;;822,998
120817;0;;;48,54
120817;100;;;31,01
120817;200;;;35,73
120817;300;;;18,2
120817;400;;;16,18
120817;500;;;943,999
120817;600;;;14,83
120817;700;;;42,47
120817;800;;;30,34
120817;900;;;31,69
120817;1000;;;28,99
120817;1100;;;22,92
120817;1200;;;12,81
120817;1300;;;
120817;1400;;;
120817;1500;;;
120817;1600;;;
120817;1700;;;
120817;1800;;;
120817;1900;;;
120817;2000;;;
120817;2100;;;
120817;2200;;;
120817;2300;;;
120818;0;;;118,7
120818;100;;;134,2
120818;200;;;139,6
120818;300;;;85
120818;400;;;87,7
120818;500;;;600,099
120818;600;;;18,88
120818;700;;;31,02
120818;800;;;30,35
120818;900;;;43,83
120818;1000;;;674,298
120818;1100;;;539,399
120818;1200;;;22,25
120818;1300;;;12,81
120818;1400;;;11,46
120818;1500;;;10,11
120818;1600;;;8,09
120818;1700;;;26,29
120818;1800;;;23,6
120818;1900;;;30,34
120818;2000;;;37,75
120818;2100;;;101,8
120818;2200;;;174,6
120818;2300;;;149
120819;0;;;132,8
120819;100;;;122,7
120819;200;;;49,22
120819;300;;;91
120819;400;;;775,398
120819;500;;;39,78
120819;600;;;27,64
